Órgãos/entidades;Pedidos;Percentual Institui‡Æo/Total;Pedidos Respondidos;%Pedidos Respondidos;Pedidos em Tramita‡Æo no Prazo;%Pedidos em tramitacao no prazo;Pedidos em Tramita‡Æo fora do prazo;%Pedidos em tramita‡Æo fora do prazo;TOTAL HORIZONTAL
Advocacia-Geral do Estado - AGE;39;0,78%;38;97,44%;0;0,00%;1;0,55%;100%
Agência de Desenvolvimento da Região Metropolitana de Belo Horizonte -ARMBH;6;0,12%;6;100,00%;0;0,00%;0;0,00%;100%
Agência de Desenvolvimento da Região Metropolitana do Vale do Aço - ARMVA;2;0,04%;2;100,00%;0;0,00%;0;0,00%;100%
Agência Reguladora de Serviços de Abastecimento de Água e Esgotamento Sanitário do Estado de MG - ARSAE;10;0,20%;10;100,00%;0;0,00%;0;0,00%;100%
Banco de Desenvolvimento de Minas Gerais - BDMG;27;0,54%;27;100,00%;0;0,00%;0;0,00%;100%
Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG;19;0,38%;19;100,00%;0;0,00%;0;0,00%;100%
Companhia de Gás de Minas Gerais - GASMIG;10;0,20%;10;100,00%;0;0,00%;0;0,00%;100%
Companhia de Habitação do Estado de Minas Gerais - COHAB;8;0,16%;8;100,00%;0;0,00%;0;0,00%;100%
Companhia de Saneamento de Minas Gerais - COPASA;36;0,72%;36;100,00%;0;0,00%;0;0,00%;100%
Companhia de Tecnologia da Informação do Estado de Minas Gerais - PRODEMGE;25;0,50%;25;100,00%;0;0,00%;0;0,00%;100%
Companhia Energética de Minas Gerais - CEMIG;36;0,72%;36;100,00%;0;0,00%;0;0,00%;100%
Controladoria-Geral do Estado - CGE;90;1,81%;90;100,00%;0;0,00%;0;0,00%;100%
Corpo de Bombeiros Militar do Estado de Minas Gerais - CBMMG;24;0,48%;24;100,00%;0;0,00%;0;0,00%;100%
Departamento de Edificações e Estradas de Rodagem de Minas Gerais - DEER;47;0,95%;47;100,00%;0;0,00%;0;0,00%;100%
Departamento Estadual de Telecomunicações - DETEL;4;0,08%;4;100,00%;0;0,00%;0;0,00%;100%
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER;19;0,38%;19;100,00%;0;0,00%;0;0,00%;100%
Empresa de Pesquisa Agropecuária de Minas Gerais - EPAMIG;8;0,16%;8;100,00%;0;0,00%;0;0,00%;100%
Empresa Mineira de Comunicação - EMC;3;0,06%;3;100,00%;0;0,00%;0;0,00%;100%
Escola de Saúde Pública do Estado de Minas Gerais - ESP;5;0,10%;5;100,00%;0;0,00%;0;0,00%;100%
Fundação Centro de Hematologia e Hemoterapia do Estado de Minas Gerais - HEMOMINAS;12;0,24%;12;100,00%;0;0,00%;0;0,00%;100%
Fundação Clóvis Salgado - FCS;5;0,10%;2;40,00%;0;0,00%;3;1,65%;100%
Fundação de Amparo a Pesquisa do Estado de Minas Gerais - FAPEMIG;30;0,60%;30;100,00%;0;0,00%;0;0,00%;100%
Fundação de Arte de Ouro Preto - FAOP;2;0,04%;2;100,00%;0;0,00%;0;0,00%;100%
Fundação de Educação para o Trabalho de Minas Gerais - UTRAMIG;5;0,10%;5;100,00%;0;0,00%;0;0,00%;100%
Fundação Educacional Caio Martins - FUCAM;2;0,04%;2;100,00%;0;0,00%;0;0,00%;100%
Fundação Estadual do Meio Ambiente - FEAM;21;0,42%;21;100,00%;0;0,00%;0;0,00%;100%
Fundação Ezequiel Dias - FUNED;24;0,48%;24;100,00%;0;0,00%;0;0,00%;100%
Fundação Helena Antipoff - FHA;3;0,06%;3;100,00%;0;0,00%;0;0,00%;100%
Fundação Hospitalar do Estado de Minas Gerais - FHEMIG;31;0,62%;31;100,00%;0;0,00%;0;0,00%;100%
Fundação João Pinheiro - FJP;16;0,32%;16;100,00%;0;0,00%;0;0,00%;100%
Fundação TV Minas Cultural e Educativa - TV MINAS;1;0,02%;1;100,00%;0;0,00%;0;0,00%;100%
Gabinete Militar do Governador do Estado de Minas Gerais - GMG;3;0,06%;3;100,00%;0;0,00%;0;0,00%;100%
