Instituições;Recursos;Percentual Recursos/Total;Reclamações;Percentual Reclamações/Total
Advocacia-Geral do Estado - AGE;10;1,92;0;0
Banco de Desenvolvimento de Minas Gerais - BDMG;1;0,19;0;0
Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG;4;0,77;0;0
Companhia de Saneamento de Minas Gerais - COPASA;7;1,35;0;0
Companhia Energética de Minas Gerais - CEMIG;5;0,96;0;0
Controladoria-Geral do Estado - CGE;37;7,12;6;1,15
Corpo de Bombeiros Militar do Estado de Minas Gerais - CBMMG;15;2,88;5;0,96
Departamento de Edificações e Estradas de Rodagem de Minas Gerais - DEER;2;0,38;0;0
Departamento de Estradas de Rodagem do Estado de Minas Gerais - DER;3;0,58;0;0
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER;3;0,58;0;0
Empresa de Pesquisa Agropecuária de Minas Gerais - EPAMIG;1;0,19;0;0
Fundação Estadual do Meio Ambiente - FEAM;2;0,38;1;0,19
Fundação Hospitalar do Estado de Minas Gerais - FHEMIG;1;0,19;0;0
Gabinete Militar do Governador do Estado de Minas Gerais - GMG;3;0,58;0;0
Governadoria do Estado de MG;4;0,77;0;0
Instituto de Metrologia e Qualidade do Estado de Minas Gerais - IPEM;3;0,58;3;0,58
Instituto de Previdência dos Servidores do Estado de Minas Gerais - IPSEMG;2;0,38;0;0
Instituto de Previdência dos Servidores Militares do Estado de Minas Gerais - IPSM;1;0,19;0;0
Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais - IEPHA;1;0,19;0;0
Instituto Mineiro de Agropecuária - IMA;1;0,19;0;0
Minas Gerais Administração e Serviços S.A - MGS;10;1,92;0;0
Polícia Civil do Estado de Minas Gerais - PCMG;29;5,58;2;0,38
Polícia Militar do Estado de Minas Gerais - PMMG;14;2,69;1;0,19
Secretaria de Estado de Administração Prisional – SEAP;9;1,73;1;0,19
Secretaria de Estado de Casa Civil e de Relações Institucionais - SECCRI;5;0,96;0;0
Secretaria de Estado de Cultura - SEC;2;0,38;0;0
Secretaria de Estado de Defesa Social - SEDS;31;5,96;1;0,19
Secretaria de Estado de Desenvolvimento Econômico - SEDE;3;0,58;0;0
Secretaria de Estado de Direitos Humanos, Participação Social e Cidadania - SEDPAC;1;0,19;0;0
Secretaria de Estado de Educação - SEE;163;31,35;11;2,12
Secretaria de Estado de Esportes - SEESP;4;0,77;1;0,19
Secretaria de Estado de Fazenda - SEF;25;4,81;2;0,38
Secretaria de Estado de Governo - SEGOV;4;0,77;1;0,19
Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável - SEMAD;3;0,58;3;0,58
Secretaria de Estado de Planejamento e Gestão de Minas Gerais - SEPLAG;9;1,73;2;0,38
Secretaria de Estado de Saúde - SES;69;13,27;18;3,46
Secretaria de Estado de Segurança Pública - SESP;10;1,92;1;0,19
Secretaria de Estado de Transportes e Obras Públicas - SETOP;3;0,58;0;0
Secretaria de Estado de Turismo - SETUR;1;0,19;0;0
Universidade do Estado de Minas Gerais - UEMG;19;3,65;1;0,19
TOTAL (Todas as instituições);520;100;60;11,53846154
