Institui‡äes;Pedidos;Percentual Institui‡Æo/Total;Pedidos Respondidos;%Pedidos Respondidos;Pedidos em Tramita‡Æo no Prazo;%Pedidos Respondidos;Pedidos em Tramita‡Æo fora do prazo;%Pedidos em tramita‡Æo fora do prazo;TOTAL HORIZONTAL
Advocacia-Geral do Estado - AGE;25;0,4;25;0,4;0;0;0;0;100,00%
Agˆncia de Desenvolvimento da RegiÆo Metropolitana de Belo Horizonte -ARMBH;6;0,1;6;0,1;0;0;0;0;100,00%
Agˆncia de Desenvolvimento da RegiÆo Metropolitana do Vale do A‡o - ARMVA;2;0,03;2;0,03;0;0;0;0;100,00%
Agˆncia Reguladora de Servi‡os de Abastecimento de µgua e Esgotamento Sanit rio do Estado de MG - ARSAE;4;0,06;4;0,06;0;0;0;0;100,00%
Banco de Desenvolvimento de Minas Gerais - BDMG;27;0,44;27;0,44;0;0;0;0;100,00%
Companhia de Desenvolvimento Econ“mico de Minas Gerais - CODEMIG;29;0,47;29;0,47;0;0;0;0;100,00%
Companhia de G s de Minas Gerais - GASMIG;6;0,1;6;0,1;0;0;0;0;100,00%
Companhia de Habita‡Æo do Estado de Minas Gerais - COHAB;10;0,16;10;0,16;0;0;0;0;100,00%
Companhia de Saneamento de Minas Gerais - COPASA;52;0,84;52;0,84;0;0;0;0;100,00%
Companhia de Tecnologia da Informa‡Æo do Estado de Minas Gerais - PRODEMGE;11;0,18;11;0,18;0;0;0;0;100,00%
Companhia Energ‚tica de Minas Gerais - CEMIG;60;0,97;60;0,97;0;0;0;0;100,00%
Companhia Mineira de Promo‡äes - PROMINAS;3;0,05;3;0,05;0;0;0;0;100,00%
Controladoria-Geral do Estado - CGE;60;0,97;60;0,97;0;0;0;0;100,00%
Corpo de Bombeiros Militar do Estado de Minas Gerais - CBMMG;41;0,66;41;0,66;0;0;0;0;100,00%
Departamento de Edifica‡äes e Estradas de Rodagem de Minas Gerais - DEER;15;0,24;15;0,24;0;0;0;0;100,00%
Departamento de Estradas de Rodagem do Estado de Minas Gerais - DER;32;0,52;32;0,52;0;0;0;0;100,00%
Departamento de Obras P£blicas do Estado de Minas Gerais - DEOP;3;0,05;3;0,05;0;0;0;0;100,00%
Departamento Estadual de Telecomunica‡äes - DETEL;1;0,02;1;0,02;0;0;0;0;100,00%
Empresa de Assistˆncia T‚cnica e ExtensÆo Rural do Estado de Minas Gerais - EMATER;13;0,21;13;0,21;0;0;0;0;100,00%
Empresa de Pesquisa Agropecu ria de Minas Gerais - EPAMIG;10;0,16;10;0,16;0;0;0;0;100,00%
Empresa Mineira de Comunica‡Æo - EMC;2;0,03;2;0,03;0;0;0;0;100,00%
Escola de Sa£de P£blica do Estado de Minas Gerais - ESP;2;0,03;2;0,03;0;0;0;0;100,00%
Funda‡Æo Centro de Hematologia e Hemoterapia do Estado de Minas Gerais - HEMOMINAS;8;0,13;8;0,13;0;0;0;0;100,00%
Funda‡Æo Centro Internacional de Educa‡Æo, Capacita‡Æo e Pesquisa Aplicada em µguas - HIDROEX;1;0,02;1;0,02;0;0;0;0;100,00%
Funda‡Æo Cl¢vis Salgado - FCS;6;0,1;6;0,1;0;0;0;0;100,00%
Funda‡Æo de Amparo a Pesquisa do Estado de Minas Gerais - FAPEMIG;9;0,15;9;0,15;0;0;0;0;100,00%
Funda‡Æo de Arte de Ouro Preto - FAOP;1;0,02;1;0,02;0;0;0;0;100,00%
