Institui‡äes;Pedidos;Percentual Institui‡Æo/Total;Pedidos Respondidos;% Pedidos Respondidos;TOTAL HORIZONTAL
Advocacia-Geral do Estado - AGE;41;0,70%;41;100,00%;100,00%
Agˆncia de Desenvolvimento da RegiÆo Metropolitana de Belo Horizonte - ARMBH;4;0,10%;4;100,00%;100,00%
Agˆncia Reguladora de Servi‡os de Abastecimento de µgua e Esgotamento Sanit rio do Estado de MG - ARSAE;34;0,60%;34;100,00%;100,00%
Banco de Desenvolvimento de Minas Gerais - BDMG;9;0,10%;9;100,00%;100,00%
Companhia de Desenvolvimento Econ“mico de Minas Gerais - CODEMIG;9;0,10%;9;100,00%;100,00%
Companhia de G s de Minas Gerais - GASMIG;5;0,10%;5;100,00%;100,00%
Companhia de Habita‡Æo do Estado de Minas Gerais - COHAB;7;0,10%;7;100,00%;100,00%
Companhia de Saneamento de Minas Gerais - COPASA;48;0,80%;48;100,00%;100,00%
Companhia de Tecnologia da Informa‡Æo do Estado de Minas Gerais - PRODEMGE;10;0,20%;10;100,00%;100,00%
Companhia Energ‚tica de Minas Gerais - CEMIG;64;1,10%;64;100,00%;100,00%
Controladoria-Geral do Estado - CGE;114;1,90%;114;100,00%;100,00%
Corpo de Bombeiros Militar do Estado de Minas Gerais - CBMMG;41;0,70%;41;100,00%;100,00%
Departamento de Edifica‡äes e Estradas de Rodagem de Minas Gerais - DEER;57;0,90%;57;100,00%;100,00%
Empresa de Assistˆncia T‚cnica e ExtensÆo Rural do Estado de Minas Gerais - EMATER;10;0,20%;10;100,00%;100,00%
Empresa de Pesquisa Agropecu ria de Minas Gerais - EPAMIG;2;0,00%;2;100,00%;100,00%
Empresa Mineira de Comunica‡Æo - EMC;1;0,00%;1;100,00%;100,00%
Escola de Sa£de P£blica do Estado de Minas Gerais - ESP;2;0,00%;2;100,00%;100,00%
Funda‡Æo Centro de Hematologia e Hemoterapia do Estado de Minas Gerais - HEMOMINAS;10;0,20%;10;100,00%;100,00%
Funda‡Æo de Amparo a Pesquisa do Estado de Minas Gerais - FAPEMIG;24;0,40%;24;100,00%;100,00%
Funda‡Æo de Arte de Ouro Preto - FAOP;1;0,00%;1;100,00%;100,00%
Funda‡Æo de Educa‡Æo para o Trabalho de Minas Gerais - UTRAMIG;2;0,00%;2;100,00%;100,00%
Funda‡Æo Estadual do Meio Ambiente - FEAM;25;0,40%;25;100,00%;100,00%
Funda‡Æo Ezequiel Dias - FUNED;17;0,30%;17;100,00%;100,00%
Funda‡Æo Hospitalar do Estado de Minas Gerais - FHEMIG;46;0,80%;46;100,00%;100,00%
Funda‡Æo JoÆo Pinheiro - FJP;12;0,20%;12;100,00%;100,00%
Funda‡Æo TV Minas Cultural e Educativa - TV MINAS;2;0,00%;2;100,00%;100,00%
Gabinete Militar do Governador do Estado de Minas Gerais - GMG;33;0,50%;33;100,00%;100,00%
Instituto de Desenvolvimento do Norte e Nordeste de Minas Gerais - IDENE;1;0,00%;1;100,00%;100,00%
Instituto de Desenvolvimento Integrado de Minas Gerais - INDI;2;0,00%;2;100,00%;100,00%
Instituto de Metrologia e Qualidade do Estado de Minas Gerais - IPEM;1;0,00%;1;100,00%;100,00%
Instituto de Previdˆncia dos Servidores do Estado de Minas Gerais - IPSEMG;37;0,60%;37;100,00%;100,00%
Instituto de Previdˆncia dos Servidores Militares do Estado de Minas Gerais - IPSM;13;0,20%;13;100,00%;100,00%
Instituto Estadual de Florestas - IEF;27;0,40%;27;100,00%;100,00%
Instituto Estadual do Patrim“nio Hist¢rico e Art¡stico de Minas Gerais - IEPHA;27;0,40%;27;100,00%;100,00%
Instituto Mineiro de Agropecu ria - IMA;18;0,30%;18;100,00%;100,00%
Instituto Mineiro de GestÆo das µguas - IGAM;25;0,40%;25;100,00%;100,00%
Junta Comercial do Estado de Minas Gerais - JUCEMG;8;0,10%;8;100,00%;100,00%
Minas Gerais Administra‡Æo e Servi‡os S.A - MGS;30;0,50%;30;100,00%;100,00%
Minas Gerais Participa‡äes S/A - MGI;2;0,00%;2;100,00%;100,00%
Ouvidoria Geral do Estado de Minas Gerais - OGE;10;0,20%;10;100,00%;100,00%
Pol¡cia Civil do Estado de Minas Gerais - PCMG;260;4,30%;260;100,00%;100,00%
Pol¡cia Militar do Estado de Minas Gerais - PMMG;233;3,90%;233;100,00%;100,00%
Secretaria de Estado de Administra‡Æo Prisional - SEAP;77;1,30%;77;100,00%;100,00%
Secretaria de Estado de Agricultura, Pecu ria e Abastecimento - SEAPA;25;0,40%;25;100,00%;100,00%
Secretaria de Estado de Cultura - SEC;9;0,10%;9;100,00%;100,00%
Secretaria de Estado de Casa Civil e de Rela‡äes Institucionais - SECCRI;5;0,10%;5;100,00%;100,00%
