Instituições;Recursos;Percentual Recursos/Total;Reclamações;Percentual Reclamações/Total
AGE;8;1,58%;2;3,92%
BDMG;2;0,40%;0;0,00%
CODEMIG;7;1,39%;0;0,00%
COHAB;2;0,40%;0;0,00%
COPASA;5;0,99%;0;0,00%
PRODEMGE;3;0,59%;0;0,00%
CEMIG;11;2,18%;0;0,00%
CGE;28;5,54%;1;1,96%
CBMMG;6;1,19%;1;1,96%
DEER;3;0,59%;0;0,00%
EMATER;0;0,00%;1;1,96%
EPAMIG;2;0,40%;1;1,96%
FCS;1;0,20%;0;0,00%
FAPEMIG;6;1,19%;0;0,00%
FEAM;9;1,78%;2;3,92%
FUNED;4;0,79%;0;0,00%
FHEMIG;9;1,78%;0;0,00%
GMG;1;0,20%;0;0,00%
IDENE;15;2,97%;0;0,00%
INDI;2;0,40%;0;0,00%
IPSEMG;7;1,39%;0;0,00%
IEF;3;0,59%;3;5,88%
IEPHA;2;0,40%;1;1,96%
IMA;5;0,99%;0;0,00%
IGAM;1;0,20%;0;0,00%
MGS;22;4,36%;0;0,00%
PCMG;10;1,98%;0;0,00%
PMMG;25;4,95%;2;3,92%
SEAP;38;7,52%;12;23,53%
SECCRI;2;0,40%;0;0,00%
SECIR;3;0,59%;0;0,00%
SEC;3;0,59%;0;0,00%
SEAP;1;0,20%;0;0,00%
SEDECTES;9;1,78%;0;0,00%
SEDPAC;2;0,40%;0;0,00%
SEE;133;26,34%;13;25,49%
SEESP;1;0,20%;0;0,00%
SEF;6;1,19%;9;17,65%
SEGOV;3;0,59%;0;0,00%
SEMAD;5;0,99%;2;3,92%
SEPLAG;13;2,57%;1;1,96%
SES;41;8,12%;0;0,00%
SESP;25;4,95%;0;0,00%
SETOP;6;1,19%;0;0,00%
SETUR;1;0,20%;0;0,00%
SEEDIF;1;0,20%;0;0,00%
UEMG;6;1,19%;0;0,00%
UNIMONTES;7;1,39%;0;0,00%
Total;505;100,00%;51;100,00%
