Instituições;RECURSOS 1ª INSTÂNCIA;RECURSOS 2ª INSTÂNCIA;RECURSOS PARA A CGE;RECURSOS PARA A CMRI;RECLAMAÇÕES
Advocacia-Geral do Estado - AGE;2;1;1;0;0
Agência de Desenvolvimento da Região Metropolitana de Belo Horizonte - ARMBH;0;0;0;0;0
Agência Reguladora de Serviços de Abastecimento de Água e Esgotamento Sanitário do Estado de MG - ARSAE;3;0;0;0;0
Banco de Desenvolvimento de Minas Gerais - BDMG;1;0;0;0;0
Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG;1;1;1;0;0
Companhia de Gás de Minas Gerais - GASMIG;0;0;0;0;0
Companhia de Habitação do Estado de Minas Gerais - COHAB;0;0;0;0;0
Companhia de Saneamento de Minas Gerais - COPASA;6;2;2;0;0
Companhia de Tecnologia da Informação do Estado de Minas Gerais - PRODEMGE;0;0;0;0;0
Companhia Energética de Minas Gerais - CEMIG;13;4;2;0;1
Controladoria-Geral do Estado - CGE;20;9;0;0;0
Corpo de Bombeiros Militar do Estado de Minas Gerais - CBMMG;3;1;0;0;0
Departamento de Edificações e Estradas de Rodagem de Minas Gerais - DEER;3;0;0;0;0
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER;0;0;0;0;0
Empresa de Pesquisa Agropecuária de Minas Gerais - EPAMIG;0;0;0;0;0
Empresa Mineira de Comunicação - EMC;0;0;0;0;0
Escola de Saúde Pública do Estado de Minas Gerais - ESP;0;0;0;0;0
Fundação Centro de Hematologia e Hemoterapia do Estado de Minas Gerais - HEMOMINAS;0;0;0;0;0
Fundação de Amparo a Pesquisa do Estado de Minas Gerais - FAPEMIG;2;1;0;0;0
Fundação de Arte de Ouro Preto - FAOP;0;0;0;0;0
Fundação de Educação para o Trabalho de Minas Gerais - UTRAMIG;0;0;0;0;0
Fundação Estadual do Meio Ambiente - FEAM;1;0;0;0;0
Fundação Ezequiel Dias - FUNED;3;1;1;0;0
Fundação Hospitalar do Estado de Minas Gerais - FHEMIG;16;10;7;0;0
Fundação João Pinheiro - FJP;2;0;0;0;0
Fundação TV Minas Cultural e Educativa - TV MINAS;0;0;0;0;0
Gabinete Militar do Governador do Estado de Minas Gerais - GMG;2;0;0;0;0
Instituto de Desenvolvimento do Norte e Nordeste de Minas Gerais - IDENE;0;0;0;0;0
Instituto de Desenvolvimento Integrado de Minas Gerais - INDI;0;0;0;0;0
Instituto de Metrologia e Qualidade do Estado de Minas Gerais - IPEM;0;0;0;0;0
Instituto de Previdência dos Servidores do Estado de Minas Gerais - IPSEMG;4;1;0;0;0
Instituto de Previdência dos Servidores Militares do Estado de Minas Gerais - IPSM;0;0;0;0;0
Instituto Estadual de Florestas - IEF;1;0;0;0;1
Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais - IEPHA;2;1;0;0;0
Instituto Mineiro de Agropecuária - IMA;2;0;0;0;0
Instituto Mineiro de Gestão das Águas - IGAM;3;0;0;0;0
Junta Comercial do Estado de Minas Gerais - JUCEMG;0;0;0;0;0
Minas Gerais Administração e Serviços S.A - MGS;3;2;2;0;0
Minas Gerais Participações S/A - MGI;0;0;0;0;0
Ouvidoria Geral do Estado de Minas Gerais - OGE;1;1;0;0;0
Polícia Civil do Estado de Minas Gerais - PCMG;41;10;5;0;0
Polícia Militar do Estado de Minas Gerais - PMMG;23;8;4;0;4
Secretaria de Estado de Administração Prisional - SEAP;3;2;1;0;2
Secretaria de Estado de Agricultura, Pecuária e Abastecimento - SEAPA;1;0;0;0;0
Secretaria de Estado de Cultura - SEC;1;0;0;0;0
Secretaria de Estado de Casa Civil e de Relações Institucionais - SECCRI;0;0;0;0;0
Secretaria de Estado de Cidades e de Integração Regional – SECIR;0;0;0;0;0
Secretaria de Estado de Cultura e Turismo - SECULT;1;0;0;0;0
Secretaria de Estado de Desenvolvimento Agrário - SEDA;0;0;0;0;0
Secretaria de Estado de Desenvolvimento e Integração do Norte e Nordeste de Minas Gerais - SEDINOR;0;0;0;0;1
Secretaria de Estado de Desenvolvimento Econômico, Ciência, Tecnlogia e Ensino Superior - SEDECTES;0;0;0;0;0
Secretaria de Estado de Desenvolvimento Econômico - SEDE;0;0;0;0;0
Secretaria de Estado de Educação - SEE;256;41;8;0;101
Secretaria de Estado de Esportes - SEESP;0;0;0;0;0
Secretaria de Estado de Fazenda - SEF;29;9;6;0;0
Secretaria de Estado de Governo - SEGOV;4;0;0;0;0
Secretaria de Estado de Infraestrutura e Mobilidade - SEINFRA;1;0;0;0;0
Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;17;2;0;0;0
Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável - SEMAD;4;2;1;1;0
Secretaria de Estado de Planejamento e Gestão de Minas Gerais - SEPLAG;22;2;0;0;2
Secretaria de Estado de Saúde - SES;45;5;1;0;0
Secretaria de Estado de Segurança Pública - SESP;8;1;0;0;0
Secretaria de Estado de Trabalho e Desenvolvimento Social - SEDESE;2;0;0;0;0
Secretaria de Estado de Transportes e Obras Públicas - SETOP;3;1;1;1;0
Secretaria-Geral;2;2;2;0;0
Universidade do Estado de Minas Gerais - UEMG;6;1;0;0;0
Universidade Estadual de Montes Claros - UNIMONTES;3;0;0;0;0
TOTAL (Todas as instituições);566;121;45;2;112
